shapeid,partid,x,y
"0","0",-51.7306413349999,-82.0625565369999
"0","0",-51.2468969394999,-82.0106747374999
"0","0",-50.7631729809999,-81.9587541649999
"0","0",-50.7333878249999,-81.9595679669999
"0","0",-50.557932095,-81.9938290339999
"0","0",-50.1224177721999,-81.9731259089999
"0","0",-49.6869034493999,-81.9524227839999
"0","0",-49.2513891265999,-81.9317196589999
"0","0",-48.8158748037999,-81.9110165339999
"0","0",-48.3803604809999,-81.8903134089999
"0","0",-48.2294001939999,-81.9182268209999
"0","0",-48.2200821609999,-81.9156226539999
"0","0",-48.2068985669999,-81.8986955709999
"0","0",-48.1988826159999,-81.8928361959999
"0","0",-48.1882218089999,-81.8915341129999
"0","0",-47.8876846999999,-81.9219703099999
"0","0",-47.431223111,-81.9176571589999
"0","0",-47.380441861,-81.9235165339999
"0","0",-47.3448787099999,-81.9501278629999
"0","0",-47.3508194649999,-81.9548479149999
"0","0",-47.3619685539999,-81.9662411439999
"0","0",-47.3681534499999,-81.9703101539999
"0","0",-47.2637833319999,-81.9699846329999
"0","0",-47.4237361319999,-82.0075009089999
"0","0",-47.5845841139999,-82.0204403629999
"0","0",-47.5620011059999,-82.0375302059999
"0","0",-47.5275772779999,-82.0476213519999
"0","0",-47.4905899729999,-82.0523414039999
"0","0",-47.4603165359999,-82.0528296849999
"0","0",-47.3963110019999,-82.0450171849999
"0","0",-47.3631078769999,-82.0446916649999
"0","0",-47.2955216139999,-82.0695126279999
"0","0",-47.2555232409999,-82.0721981749999
"0","0",-47.2151993479999,-82.0656877579999
"0","0",-47.1756892569999,-82.0533179669999
"0","0",-47.0870255199999,-82.0036760399999
"0","0",-47.0550430979999,-81.9932593729999
"0","0",-46.6671239899999,-81.9515113259999
"0","0",-46.2792048819999,-81.9097632789999
"0","0",-46.229318814,-81.9169247379999
"0","0",-46.2515763009999,-81.9437802059999
"0","0",-46.2534073559999,-81.9553361959999
"0","0",-46.2466934889999,-81.9732398419999
"0","0",-46.2346085279999,-81.9889462219999
"0","0",-46.2169490229999,-82.0031877579999
"0","0",-46.1969294909999,-82.0143368469999
"0","0",-46.136057095,-82.0363095029999
"0","0",-46.0539444649999,-82.0832658829999
"0","0",-46.0125626289999,-82.0944149719999
"0","0",-46.0270889959999,-82.1022274719999
"0","0",-46.0381973949999,-82.1127255189999
"0","0",-46.0447485019999,-82.1261532529999
"0","0",-46.0455623039999,-82.1425106749999
"0","0",-45.9730118479999,-82.1254208309999
"0","0",-45.9488419259999,-82.1257463519999
"0","0",-46.0272110669999,-82.1544735659999
"0","0",-46.0494278639999,-82.1709937479999
"0","0",-46.0644425119999,-82.1918270809999
"0","0",-46.0747777989999,-82.2100562479999
"0","0",-46.0887751939999,-82.2243791649999
"0","0",-46.3007706369999,-82.3059221329999
"0","0",-46.68879147,-82.4054501279999
"0","0",-46.6328018869999,-82.4308407529999
"0","0",-46.4529923169999,-82.4707984349999
"0","0",-46.4635310539999,-82.4873999979999
"0","0",-46.4794815749999,-82.4961890599999
"0","0",-46.5182999339999,-82.5033505189999
"0","0",-46.0536189439999,-82.5548641909999
"0","0",-46.0250544909999,-82.5521786439999
"0","0",-46.0422257149999,-82.5407854149999
"0","0",-45.9468888009999,-82.4921200499999
"0","0",-45.8325089179999,-82.4517554669999
"0","0",-45.7193904289999,-82.4436174459999
"0","0",-45.5793350899999,-82.5221493469999
"0","0",-45.5204158189999,-82.5266252579999
"0","0",-45.0288183254999,-82.4534644509999
"0","0",-44.5372208319999,-82.3803036439999
"0","0",-44.3052465489999,-82.3155249979999
"0","0",-44.1985977859999,-82.2554664039999
"0","0",-44.1370743479999,-82.2447242169999
"0","0",-44.0734757149999,-82.2484677059999
"0","0",-44.0135391919999,-82.2629533829999
"0","0",-44.0191544259999,-82.2754859349999
"0","0",-44.0265193349999,-82.2848446589999
"0","0",-44.0358780589999,-82.2926571589999
"0","0",-44.0469864569999,-82.2994930969999
"0","0",-44.0546768869999,-82.3095028629999
"0","0",-44.0538630849999,-82.3373348939999
"0","0",-44.0569962229999,-82.3497860659999
"0","0",-44.0743708979999,-82.3633765599999
"0","0",-44.1014298169999,-82.3746070289999
"0","0",-44.1529841789999,-82.3893368469999
"0","0",-44.0849503249999,-82.4024390599999
"0","0",-44.0110977859999,-82.3912085919999
"0","0",-43.6821386384999,-82.3003068989999
"0","0",-43.3531794909999,-82.2094052059999
"0","0",-43.3464249339999,-82.1993140599999
"0","0",-43.3442276679999,-82.1796200499999
"0","0",-43.3333634109999,-82.1698544249999
"0","0",-43.2642309239999,-82.1422665339999
"0","0",-43.1597794259999,-82.1246884089999
"0","0",-43.147775845,-82.1141903629999
"0","0",-43.1553848949999,-82.0967749979999
"0","0",-43.1707657539999,-82.0796851539999
"0","0",-43.1817520819999,-82.0702450499999
"0","0",-43.1985977859999,-82.0621070289999
"0","0",-43.2558487619999,-82.0475399719999
"0","0",-43.2345271479999,-82.0297177059999
"0","0",-43.1923721999999,-82.0092098939999
"0","0",-43.1690160799999,-81.9928524719999
"0","0",-43.215158658,-81.9644507789999
"0","0",-43.2235001289999,-81.9566382789999
"0","0",-43.2225642569999,-81.9411760399999
"0","0",-43.2134903639999,-81.9252255189999
"0","0",-43.1902970039999,-81.8996721329999
"0","0",-43.1656388009999,-81.8860002579999
"0","0",-43.1319473949999,-81.8785132789999
"0","0",-42.9963272779999,-81.8673641909999
"0","0",-42.9597061839999,-81.8604468729999
"0","0",-42.9063614569999,-81.8301734349999
"0","0",-42.7997940749999,-81.8186174459999
"0","0",-42.5174861319999,-81.7549781229999
"0","0",-42.235178189,-81.6913387999999
"0","0",-42.278879361,-81.6779110659999
"0","0",-42.2230525379999,-81.6431617169999
"0","0",-42.2065323559999,-81.6364071589999
"0","0",-41.9861954419999,-81.6195614559999
"0","0",-41.9413956369999,-81.6114234349999
"0","0",-41.8998917309999,-81.5835914039999
"0","0",-41.9252009759999,-81.5614559879999
"0","0",-41.9393204419999,-81.5538062479999
"0","0",-41.9561254549999,-81.5508765599999
