"shapeid","x","y"
"0.0","78.915947775","33.387655981"
"0.0","78.824263143","33.461059469"
"0.0","78.800905396","33.494235738"
"0.0","78.781371704","33.552785136"
"0.0","78.794084107","33.743910421"
"0.0","78.787262817","33.808428447"
"0.0","78.770312948","33.872352193"
"0.0","78.721116984","33.994386089"
"0.0","78.730108684","34.079264629"
"0.0","78.806073039","34.12298289"
"0.0","78.903224731","34.158122864"
"0.0","78.976191854","34.217163188"
"0.0","78.985493612","34.239900818"
"0.0","78.988490845","34.263129374"
"0.0","78.985390259","34.286357931"
"0.0","78.976191854","34.309173076"
"0.0","78.956939516","34.339960905"
"0.0","78.951180461","34.349170634"
"0.0","78.922138306","34.372295837"
"0.0","78.88586145","34.385757548"
"0.0","78.839249308","34.39689382"
"0.0","78.801732218","34.415006409"
"0.0","78.750675904","34.471282044"
"0.0","78.664582968","34.526420797"
"0.0","78.60732548","34.546471253"
"0.0","78.379432414","34.57866567"
"0.0","78.33530074","34.594375306"
"0.0","78.296026652","34.624657695"
"0.0","78.273185669","34.658867493"
"0.0","78.211380656","34.848261617"
"0.0","78.202492309","34.865728251"
"0.0","78.162184693","34.908826396"
"0.0","78.148128703","34.943139547"
"0.0","78.139240357","35.018948873"
"0.0","78.130041951","35.055432434"
"0.0","78.036404257","35.194235331"
"0.0","78.001160929","35.268907776"
"0.0","78.009842571","35.347455953"
"0.0","78.038057902","35.398098857"
"0.0","78.05562789","35.452875875"
"0.0","78.044259074","35.491633199"
"0.0","77.985864706","35.494165344"
"0.0","77.957856079","35.482073059"
"0.0","77.912690877","35.440990295"
"0.0","77.883131958","35.43106842"
"0.0","77.857087036","35.436597799"
"0.0","77.834246053","35.452152405"
"0.0","77.815332479","35.473339742"
"0.0","77.800346314","35.495405579"
"0.0","77.773577922","35.498971253"
"0.0","77.760348755","35.498092753"
"0.0","77.747429647","35.494320374"
"0.0","77.716733846","35.4754068"
"0.0","77.689655396","35.462694397"
"0.0","77.660613241","35.458095195"
"0.0","77.519608178","35.477439204"
"0.0","77.512198527","35.478455709"
"0.0","77.476438436","35.477163798"
"0.0","77.412773071","35.469412333"
"0.0","77.383730916","35.471996155"
"0.0","77.352001587","35.486052145"
"0.0","77.305389445","35.517833151"
"0.0","77.281101522","35.528013408"
"0.0","77.250819133","35.530700582"
"0.0","77.177541951","35.523155823"
"0.0","77.141265096","35.52537791"
"0.0","77.105298299","35.537986959"
"0.0","77.092275839","35.547805482"
"0.0","77.071088501","35.571008199"
"0.0","77.058169393","35.580103252"
"0.0","77.039049113","35.585012512"
"0.0","77.017551718","35.584599101"
"0.0","76.976417277","35.578656312"
"0.0","76.935799602","35.579638164"
"0.0","76.915025676","35.583152161"
"0.0","76.89642216","35.589611715"
"0.0","76.880505819","35.600670472"
"0.0","76.856941365","35.628575745"
"0.0","76.842988729","35.641288148"
"0.0","76.824591919","35.647799378"
"0.0","76.782837362","35.64573232"
"0.0","76.777350741","35.646111714"
"0.0","76.763407023","35.647075907"
"0.0","76.745423625","35.655034078"
"0.0","76.732917929","35.666609599"
"0.0","76.709043417","35.694049785"
"0.0","76.67669397","35.713790182"
"0.0","76.604243612","35.735700989"
"0.0","76.570757284","35.751255595"
"0.0","76.55112024","35.784018453"
"0.0","76.565279582","35.865460511"
"0.0","76.555461059","35.897861634"
"0.0","76.537167603","35.902512513"
"0.0","76.500167278","35.871506653"
"0.0","76.476499471","35.865253805"
"0.0","76.453968547","35.864788717"
"0.0","76.44290979","35.863290101"
"0.0","76.432057739","35.860499573"
"0.0","76.422445923","35.854298401"
"0.0","76.410353638","35.836831767"
"0.0","76.403118937","35.83099233"
"0.0","76.38410201","35.828201803"
"0.0","76.366428671","35.830888977"
"0.0","76.348858683","35.83099233"
"0.0","76.31196171","35.809649963"
"0.0","76.296562134","35.809494935"
"0.0","76.28054244","35.814249167"
"0.0","76.260388632","35.81781484"
"0.0","76.237134236","35.815489401"
"0.0","76.189798625","35.804999084"
"0.0","76.166027466","35.806239319"
"0.0","76.138122192","35.82665151"
"0.0","76.127786906","35.862101542"
"0.0","76.123756144","35.903494365"
"0.0","76.114661092","35.941786601"
"0.0","76.089959757","35.978115133"
"0.0","76.061434367","35.991602682"
"0.0","75.98433313","35.995633444"
"0.0","75.953017212","36.007260641"
"0.0","75.922321411","36.031651917"
"0.0","75.899997193","36.063484599"
"0.0","75.894312785","36.097384339"
"0.0","75.901444133","36.113610738"
"0.0","75.914569947","36.123894348"
"0.0","75.964179321","36.149835918"
"0.0","75.971517375","36.155003561"
"0.0","75.976581665","36.162755026"
"0.0","75.977408488","36.173762105"
"0.0","75.969140259","36.191693828"
"0.0","75.970070435","36.202339172"
"0.0","75.983402954","36.21541331"
"0.0","76.001593058","36.222131246"
"0.0","76.014408814","36.230399475"
"0.0","76.011928345","36.248124491"
"0.0","76.001696411","36.261457011"
"0.0","75.976581665","36.286985169"
"0.0","75.9688302","36.301971334"
"0.0","75.968623495","36.341813864"
"0.0","75.987433716","36.421188863"
"0.0","75.981082732","36.445443571"
"0.0","75.976811399","36.461755995"
"0.0","75.976581665","36.462633362"
"0.0","75.874779094","36.619471334"
"0.0","75.8497677","36.64474111"
"0.0","75.790546509","36.687839254"
"0.0","75.728741496","36.723185934"
"0.0","75.649779907","36.754036764"
"0.0","75.570508261","36.766749166"
"0.0","75.507979777","36.747628887"
"0.0","75.501881958","36.737965393"
"0.0","75.498884725","36.727630107"
"0.0","75.4925802","36.720705465"
"0.0","75.431912069","36.722927551"
"0.0","75.410518026","36.747318827"
