"shapeid","x","y"
"0.0","31.76434493","52.100567729"
"0.0","31.825839884","52.104055888"
"0.0","31.858706095","52.099870097"
"0.0","31.882063843","52.086408386"
"0.0","31.887489868","52.070026957"
"0.0","31.88774825","52.051552633"
"0.0","31.892037394","52.036178895"
"0.0","31.910382528","52.029073385"
"0.0","31.927229044","52.031088766"
"0.0","31.980559122","52.047625225"
"0.0","32.016939331","52.049795634"
"0.0","32.077142375","52.039951274"
"0.0","32.095590861","52.040726421"
"0.0","32.233308553","52.08085317"
"0.0","32.277698609","52.102660625"
"0.0","32.306740763","52.141185405"
"0.0","32.318833049","52.201414287"
"0.0","32.328238159","52.219165141"
"0.0","32.337849976","52.225469666"
"0.0","32.350148967","52.229888001"
"0.0","32.361311076","52.235908305"
"0.0","32.366995484","52.247199606"
"0.0","32.363274781","52.255726217"
"0.0","32.344464559","52.276525981"
"0.0","32.339503621","52.287248841"
"0.0","32.353559611","52.32158783"
"0.0","32.394280639","52.32680715"
"0.0","32.480580282","52.307144267"
"0.0","32.528432658","52.316213481"
"0.0","32.725423218","52.252083029"
"0.0","32.755602254","52.252393087"
"0.0","32.814823445","52.262004903"
"0.0","32.84417566","52.2623408"
"0.0","32.861022177","52.257198996"
"0.0","32.890787801","52.242316183"
"0.0","32.908977905","52.241101787"
"0.0","32.926857951","52.246915386"
"0.0","33.030107463","52.303604431"
"0.0","33.04824589","52.309082134"
"0.0","33.057289266","52.308642884"
"0.0","33.07041508","52.304172872"
"0.0","33.079613485","52.305593975"
"0.0","33.087364949","52.310761618"
"0.0","33.099043823","52.324765931"
"0.0","33.108862345","52.328331604"
"0.0","33.127982625","52.332724102"
"0.0","33.140850057","52.340372213"
"0.0","33.166636597","52.360060934"
"0.0","33.182862996","52.367295635"
"0.0","33.196505575","52.36894928"
"0.0","33.294329061","52.357296245"
"0.0","33.358976277","52.357554627"
"0.0","33.376184529","52.355255025"
"0.0","33.40057608","52.344343017"
"0.0","33.403676392","52.342956035"
"0.0","33.419334351","52.338330994"
"0.0","33.437317749","52.339157817"
"0.0","33.45178715","52.345255636"
"0.0","33.465326376","52.352748718"
"0.0","33.480519246","52.357761333"
"0.0","33.499432821","52.34099233"
"0.0","33.493024943","52.303139343"
"0.0","33.510078166","52.287533061"
"0.0","33.531678915","52.288824972"
"0.0","33.600201864","52.330786235"
"0.0","33.687948445","52.355823466"
"0.0","33.733578736","52.360991109"
"0.0","33.778950643","52.360060934"
"0.0","33.804065389","52.35460907"
"0.0","33.815227498","52.345074768"
"0.0","33.823392375","52.331458029"
"0.0","33.83910201","52.31391388"
"0.0","33.858739054","52.302157491"
"0.0","33.900700317","52.285853577"
"0.0","33.919510539","52.269756369"
"0.0","33.944418579","52.235779114"
"0.0","33.957751099","52.224694519"
"0.0","34.021933228","52.197900289"
"0.0","34.038883097","52.186479798"
"0.0","34.055729614","52.170330913"
"0.0","34.065341431","52.158626201"
"0.0","34.071025838","52.148962708"
"0.0","34.07360966","52.139557597"
"0.0","34.073919719","52.128317973"
"0.0","34.05665979","52.105812887"
"0.0","34.05665979","52.100386862"
"0.0","34.060070434","52.08317861"
"0.0","34.062550903","52.050209046"
"0.0","34.068235311","52.031011252"
"0.0","34.080327596","52.013622131"
"0.0","34.101101521","51.992512309"
"0.0","34.104408813","51.975304057"
"0.0","34.096657349","51.960576274"
"0.0","34.096243937","51.951817119"
"0.0","34.146163371","51.951610413"
"0.0","34.166420533","51.942256979"
"0.0","34.203420857","51.912310487"
"0.0","34.209415324","51.908796489"
"0.0","34.22264449","51.903163758"
"0.0","34.228432251","51.899262187"
"0.0","34.231016072","51.894533794"
"0.0","34.234633423","51.880736186"
"0.0","34.234220012","51.878281556"
"0.0","34.246002238","51.87546519"
"0.0","34.264915812","51.881201274"
"0.0","34.276698039","51.881227113"
"0.0","34.294578084","51.873889059"
"0.0","34.327754353","51.850505473"
"0.0","34.347288046","51.841694641"
"0.0","34.371101382","51.826811306"
"0.0","34.38573531","51.817665101"
"0.0","34.412710409","51.77769338"
"0.0","34.414157349","51.736455587"
"0.0","34.3763302","51.70860199"
"0.0","34.356899862","51.705553081"
"0.0","34.298195435","51.706147359"
"0.0","34.127973267","51.680748393"
"0.0","34.089112589","51.666614889"
"0.0","34.079500774","51.643102112"
"0.0","34.090662883","51.633206076"
"0.0","34.126009562","51.627004904"
"0.0","34.140065552","51.621191305"
"0.0","34.144509725","51.613775737"
"0.0","34.148850545","51.593208516"
"0.0","34.152984659","51.583984274"
"0.0","34.160322714","51.576129456"
"0.0","34.202387329","51.546157125"
"0.0","34.21540979","51.531997783"
"0.0","34.223678019","51.514763692"
"0.0","34.225951782","51.492878723"
"0.0","34.223781372","51.482362569"
"0.0","34.214996379","51.464663392"
"0.0","34.212102498","51.455025737"
"0.0","34.213239379","51.444819641"
"0.0","34.217063436","51.436060487"
"0.0","34.219647258","51.427275492"
"0.0","34.217063436","51.417069398"
"0.0","34.208795207","51.411462504"
"0.0","34.186987753","51.408310242"
"0.0","34.181923461","51.402341614"
"0.0","34.185850871","51.394150899"
"0.0","34.195979451","51.385624288"
"0.0","34.215719848","51.373764547"
"0.0","34.230499308","51.367666728"
"0.0","34.247345825","51.36342926"
"0.0","34.264399048","51.361207174"
"0.0","34.280315389","51.36125885"
"0.0","34.300159139","51.368390198"
"0.0","34.308737427","51.33461965"
"0.0","34.283622681","51.301236674"
"0.0","34.243935181","51.27408071"
"0.0","34.185954224","51.248914286"
"0.0","34.257887817","51.229561462"
"0.0","34.281762329","51.226435039"
