shapeid,partid,x,y
"0","0",-57.6116983649999,-30.1829627479999
"0","0",-57.5686518969999,-30.176554871
"0","0",-57.5486014409999,-30.1700436399999
"0","0",-57.5061750899999,-30.1443087769999
"0","0",-57.4114521889999,-30.039612325
"0","0",-57.3251525479999,-29.98101125
"0","0",-57.3187446699999,-29.9655083209999
"0","0",-57.3085127369999,-29.848512878
"0","0",-57.2915111899999,-29.815129903
"0","0",-57.2625723879999,-29.792598979
"0","0",-57.219629273,-29.7783362829999
"0","0",-57.1774613039999,-29.7728585819999
"0","0",-57.133381307,-29.7721351109999
"0","0",-57.1128657639999,-29.7660372919999
"0","0",-57.0941588949999,-29.7519813019999
"0","0",-57.0209333909999,-29.6833550009999
"0","0",-57.0135953379999,-29.6731230669999
"0","0",-57.0088411059999,-29.6625810749999
"0","0",-56.9793855389999,-29.6349858599999
"0","0",-56.9657946379999,-29.600879415
"0","0",-56.9516352949999,-29.5863066609999
"0","0",-56.9124128829999,-29.5584013879999
"0","0",-56.9043513589999,-29.5496163939999
"0","0",-56.8972716879999,-29.535663757
"0","0",-56.8190335699999,-29.474995626
"0","0",-56.8149511319999,-29.4670374549999
"0","0",-56.8129357509999,-29.4571155799999
"0","0",-56.8075614009999,-29.4447132369999
"0","0",-56.7998357749999,-29.4339645389999
"0","0",-56.7834285079999,-29.4257996619999
"0","0",-56.7820332439999,-29.4166012569999
"0","0",-56.7825500089999,-29.4054391479999
"0","0",-56.7808188479999,-29.3953105679999
"0","0",-56.7757803949999,-29.3864222209999
"0","0",-56.7699409589999,-29.3790841669999
"0","0",-56.762706258,-29.3728829959999
"0","0",-56.7535595299999,-29.3674052929999
"0","0",-56.7181353349999,-29.3514889519999
"0","0",-56.7055004479999,-29.3437374879999
"0","0",-56.6886539309999,-29.3295781449999
"0","0",-56.6770267339999,-29.3133517459999
"0","0",-56.6606453049999,-29.2708737179999
"0","0",-56.6504650479999,-29.2513400269999
"0","0",-56.6572863369999,-29.2379041539999
"0","0",-56.6563044839999,-29.2234347529999
"0","0",-56.6506717529999,-29.2090687049999
"0","0",-56.6436695969999,-29.1961495969999
"0","0",-56.6172887779999,-29.1609062699999
"0","0",-56.5842158609998,-29.132277526
"0","0",-56.5483007409999,-29.109953308
"0","0",-56.5133157959999,-29.093726909
"0","0",-56.4442760829999,-29.0781206259999
"0","0",-56.4279721679999,-29.0698523969999
"0","0",-56.4157506919999,-29.0513522339999
"0","0",-56.4119266359999,-29.031818542
"0","0",-56.410918946,-28.9913042199999
"0","0",-56.3916177979999,-28.9522368369999
"0","0",-56.3230690109999,-28.9164767459999
"0","0",-56.3010031739999,-28.8814401239999
"0","0",-56.2948278399999,-28.7957605989999
"0","0",-56.2861461999999,-28.7801543169999
"0","0",-56.2654756269999,-28.7719894409999
"0","0",-56.2184500739999,-28.7641346229999
"0","0",-56.1847053629999,-28.7441875209999
"0","0",-56.1030049239999,-28.648069356
"0","0",-56.0408123369999,-28.6090019739999
"0","0",-56.0218987639999,-28.585747579
"0","0",-56.0205034999999,-28.5462667839999
"0","0",-56.0229581299999,-28.5282833869999
"0","0",-56.0214336759999,-28.5104033409999
"0","0",-56.011589315,-28.4965540569999
"0","0",-55.979136516,-28.4892160029999
"0","0",-55.9515929769999,-28.4767103069999
"0","0",-55.9190885009999,-28.4734030149999
"0","0",-55.9106652429999,-28.4705091349999
"0","0",-55.9020352789999,-28.4651347859999
"0","0",-55.8980561929999,-28.460690613
"0","0",-55.8969193119999,-28.4534559129999
"0","0",-55.8966609289999,-28.40684377
"0","0",-55.9003816319999,-28.3984721879999
"0","0",-55.905600952,-28.3780083209999
"0","0",-55.8873591719999,-28.3633322149999
"0","0",-55.8423489999999,-28.3463823449999
"0","0",-55.8125316979999,-28.3532036329999
"0","0",-55.771190552,-28.3575444539999
"0","0",-55.7346036379999,-28.3659160359999
"0","0",-55.7188423259999,-28.3845195509999
"0","0",-55.7149665939999,-28.4044666549999
"0","0",-55.705690674,-28.4076705939999
"0","0",-55.6942443439999,-28.4001258339999
"0","0",-55.6840640869999,-28.3880335489999
"0","0",-55.6773719889999,-28.3738742069999
"0","0",-55.6636002199999,-28.3265385939999
"0","0",-55.6772169599999,-28.3018372599999
"0","0",-55.6872163489999,-28.2900550329999
"0","0",-55.7014532069999,-28.2849907429999
"0","0",-55.7147082119999,-28.2818901569999
"0","0",-55.7546024169999,-28.2656637569999
"0","0",-55.7665913499999,-28.2576022339999
"0","0",-55.7725341389999,-28.2319707239999
"0","0",-55.7479361579999,-28.2157443229999
"0","0",-55.6840640869999,-28.1962106319999
"0","0",-55.6419994709999,-28.160347188
"0","0",-55.6325426839999,-28.1546627809999
"0","0",-55.6238352059999,-28.1461878459999
"0","0",-55.6230418889999,-28.1443500899999
"0","0",-55.6166521809999,-28.1295480349999
"0","0",-55.6047407639999,-28.1169389849999
"0","0",-55.5816413979999,-28.1210730999999
"0","0",-55.5785408129999,-28.1274809769999
"0","0",-55.5793159589999,-28.136369324
"0","0",-55.5770938719999,-28.1443274939999
"0","0",-55.5648723969999,-28.1477381389999
"0","0",-55.5534777429999,-28.145567728
"0","0",-55.5497312009999,-28.1398833209999
"0","0",-55.5482842609999,-28.1322352089999
"0","0",-55.543762573,-28.1241736849999
"0","0",-55.5378714599998,-28.1193161009999
"0","0",-55.5247973229999,-28.1106344599999
"0","0",-55.5202239579999,-28.1068104039999
"0","0",-55.5099145109999,-28.0839694209999
"0","0",-55.5059354249999,-28.0789051309999
"0","0",-55.4929646409998,-28.0739441939999
"0","0",-55.4865309249999,-28.077148132
"0","0",-55.4823192959999,-28.0831425979999
"0","0",-55.4754980059999,-28.086346537
"0","0",-55.4648526609999,-28.0851063029999
"0","0",-55.440745606,-28.0789051309999
"0","0",-55.4350870369999,-28.0707402549999
"0","0",-55.3898443199999,-28.024231466
"0","0",-55.383384766,-28.014206238
"0","0",-55.3814210609999,-28.0087285359999
"0","0",-55.3824287519999,-27.987334493
"0","0",-55.3809301359999,-27.9782394399999
"0","0",-55.3764342849999,-27.9731751499999
"0","0",-55.3690962319999,-27.9707980339999
"0","0",-55.3588642989999,-27.9702812699999
"0","0",-55.3379095049999,-27.9631499229999
"0","0",-55.3330260819999,-27.9466134639999
"0","0",-55.3298738199999,-27.9281133019999
"0","0",-55.314112509,-27.9149874879999
"0","0",-55.3017618409999,-27.9139539589999
"0","0",-55.2807812099999,-27.9205685429999
"0","0",-55.2700841879999,-27.9224288939999
"0","0",-55.2602398279999,-27.919224955
"0","0",-55.2240404869999,-27.8938001499999
"0","0",-55.2123099369999,-27.8771603399999
"0","0",-55.1977371829999,-27.8606238809999
"0","0",-55.1775575359999,-27.8535958859999
"0","0",-55.1614603269999,-27.8582467649999
"0","0",-55.1397045499999,-27.8767469279999
"0","0",-55.1192406829999,-27.8808810429999
"0","0",-55.111385864,-27.852975769
"0","0",-55.1086986899999,-27.8467745969999
"0","0",-55.099939534,-27.843777364
"0","0",-55.0778995359999,-27.843363953
"0","0",-55.0677192789999,-27.839333191
"0","0",-55.0458084719999,-27.8507020059999
"0","0",-55.029633748,-27.8507020059999
"0","0",-55.0258096929999,-27.840160014
"0","0",-55.040434123,-27.8194894409999
"0","0",-55.0712591149999,-27.7943746949999
"0","0",-55.081155152,-27.778251648
"0","0",-55.0643086349999,-27.771016948
"0","0",-55.0446457529999,-27.7750477089999
"0","0",-55.0275925289999,-27.7830058799999
"0","0",-55.0091182049999,-27.7883802289999
"0","0",-54.9851920169999,-27.7852796419999
"0","0",-54.9329988199999,-27.7438351439999
"0","0",-54.9132067459999,-27.7369105019999
"0","0",-54.9069022219999,-27.72709198
"0","0",-54.9015795489999,-27.7044577019999
"0","0",-54.8964635819999,-27.6611528519999
"0","0",-54.8982722569999,-27.6236357619999
"0","0",-54.889797323,-27.6206385299999
"0","0",-54.8654060469999,-27.6208452349999
"0","0",-54.8450972089999,-27.6118535359999
"0","0",-54.8370098469999,-27.5904594929999
"0","0",-54.8336767179999,-27.5653447469999
"0","0",-54.8275272219998,-27.5450875849999
"0","0",-54.8188972579999,-27.5361992389999
"0","0",-54.8050479739999,-27.5263807169999
"0","0",-54.792232218,-27.523176778
"0","0",-54.7865478109999,-27.5342355339999
"0","0",-54.7885373539999,-27.5385763549999
"0","0",-54.7921288659999,-27.544260763
"0","0",-54.7937308349999,-27.5492216999999
"0","0",-54.7900101319998,-27.551288757
"0","0",-54.7880205899999,-27.5528390509999
"0","0",-54.7816902269999,-27.560073751
"0","0",-54.7803466399999,-27.5621408079999
"0","0",-54.773938761,-27.563794454
"0","0",-54.731899984,-27.551288757
"0","0",-54.7219522709999,-27.5509786989999
"0","0",-54.6996797279999,-27.5530457559999
"0","0",-54.690326294,-27.551288757
"0","0",-54.6811278889999,-27.546431172
"0","0",-54.6772004799999,-27.5417802929999
"0","0",-54.6764511719999,-27.5342355339999
"0","0",-54.6766837159999,-27.5205929569999
"0","0",-54.673479777,-27.5097409059999
"0","0",-54.6664517819999,-27.5038497919999
"0","0",-54.6594754639999,-27.5028162639999
"0","0",-54.6561940109999,-27.5072604369999
"0","0",-54.6512330729998,-27.525863952
"0","0",-54.6395283609999,-27.5267941279999
"0","0",-54.625911622,-27.5153219609999
"0","0",-54.615240438,-27.496718445
"0","0",-54.6098144129999,-27.4785283409999
"0","0",-54.6053185629999,-27.467986348
"0","0",-54.5984972739999,-27.4590980019999
"0","0",-54.589453898,-27.4525867709999
"0","0",-54.5838211669999,-27.4520700069999
"0","0",-54.5785501709999,-27.4542404179999
"0","0",-54.5705403249999,-27.4556873569999
"0","0",-54.5672330329999,-27.459614766
"0","0",-54.5576212159999,-27.4778048699999
"0","0",-54.55379716,-27.4829725139999
"0","0",-54.5432551679999,-27.4870032749999
"0","0",-54.5335399989999,-27.4874166869999
"0","0",-54.4685827239999,-27.470260111
"0","0",-54.4483772379999,-27.4588912969999
"0","0",-54.4476537689999,-27.4457654829999
"0","0",-54.4645519609999,-27.4233379109999
"0","0",-54.4608312579999,-27.4125892129999
"0","0",-54.4445531819999,-27.4089718619999
"0","0",-54.4042455649999,-27.4074215699999
"0","0",-54.388897665,-27.4111422729999
"0","0",-54.3787174079999,-27.422717794
"0","0",-54.374996704,-27.4457654829999
"0","0",-54.3715860599999,-27.4544471229999
"0","0",-54.3634728599999,-27.4535169469999
"0","0",-54.354326131,-27.446282247
"0","0",-54.347711548,-27.4358436079999
"0","0",-54.3461095789999,-27.4265418499999
"0","0",-54.347711548,-27.3942957559999
"0","0",-54.3340172939999,-27.4060779829999
"0","0",-54.321511597,-27.4195138549999
"0","0",-54.3069388439999,-27.4289189659999
"0","0",-54.2868883869999,-27.4284022009999
"0","0",-54.2819274499999,-27.4243714389999
"0","0",-54.2748994549999,-27.4161032099999
"0","0",-54.268594931,-27.4063880409999
"0","0",-54.2658044029999,-27.3980164589999
"0","0",-54.2612568769999,-27.3887147019999
"0","0",-54.2507148849999,-27.385200704
"0","0",-54.2392427159999,-27.3838571159999
"0","0",-54.2316462819999,-27.3805498249999
"0","0",-54.2295792239999,-27.3719715379999
"0","0",-54.2318013099999,-27.3515076699999
"0","0",-54.2279255789999,-27.3430327349999
"0","0",-54.2225512289999,-27.3368315629999
"0","0",-54.218158733,-27.329286804
"0","0",-54.1895299889999,-27.2608672079999
"0","0",-54.1770242929999,-27.2434005739999
"0","0",-54.1647769779999,-27.2506352739999
"0","0",-54.1559403079999,-27.2576632689999
"0","0",-54.1580590419999,-27.2794707229999
"0","0",-54.1281900639999,-27.288875834
"0","0",-54.0917581789999,-27.285155131
"0","0",-54.0181192629999,-27.2122913609999
"0","0",-54.010884563,-27.1939979039999
"0","0",-54.0051484779999,-27.1882101439999
"0","0",-53.9972936609999,-27.1872799679999
"0","0",-53.9926944579999,-27.1900704959999
"0","0",-53.9884569909999,-27.1937911989999
"0","0",-53.9814806729999,-27.19565155
"0","0",-53.9617919519999,-27.1914140829999
"0","0",-53.9610684819999,-27.1807687379999
"0","0",-53.9662361249999,-27.1672295129999
"0","0",-53.9641173909999,-27.1540003459999
"0","0",-53.950888224,-27.147799174
"0","0",-53.9385375579999,-27.1554472859999
"0","0",-53.9254117439999,-27.1659892779999
"0","0",-53.9094954019999,-27.1682630409999
"0","0",-53.899418498,-27.1584445189999
"0","0",-53.8908402099999,-27.1271286009999
"0","0",-53.8822102459999,-27.119893901
"0","0",-53.8687743739999,-27.125888367
"0","0",-53.8578706459999,-27.1409778849999
"0","0",-53.8487755949999,-27.1575143429999
"0","0",-53.842005981,-27.1635088099999
"0","0",-53.8300170499999,-27.1567908729999
"0","0",-53.819216675,-27.1397376499999
"0","0",-53.818751587,-27.1314694209999
"0","0",-53.8282600509999,-27.1217542519999
"0","0",-53.8287251389999,-27.114416199
"0","0",-53.824332642,-27.1093519079999
"0","0",-53.8097598879999,-27.1009803259999
"0","0",-53.8049023039999,-27.0943657429999
