AX1,AX2,AY1,AY2,AZ1,AZ2,P0,P1,P10,P11,P2,P3,P4,P5,P6,P7,P8,P9,active,changes,encB,encT,j,k,pitch,roll,time
-0.01,0.01,0.02,0.02,1.0,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,-0.0,18.2
-0.01,-0.02,0.01,0.0,1.01,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,-0.0,18.3
-0.0,0.01,0.01,0.01,1.01,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.0,18.39
-0.02,-0.0,0.01,0.02,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,18.49
-0.02,-0.01,0.01,0.03,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,18.59
-0.01,-0.0,0.01,0.02,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,18.68
-0.0,0.0,0.01,0.01,1.01,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,18.78
-0.0,0.0,0.01,0.01,1.0,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,18.87
0.0,0.0,0.01,0.01,1.01,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,18.97
-0.0,0.0,0.01,0.01,1.01,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,19.07
-0.01,0.0,0.01,0.01,1.0,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.01,19.16
0.0,0.0,0.01,0.01,1.01,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.0,19.26
0.0,0.01,0.01,0.01,1.0,1.01,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.01,0.0,19.35
